feature,importance
sticks in,1.6978606021123e-16
the struggle,1.6978606021123e-16
narcissus 1947 is,1.6978606021123e-16
narcissus landmark,1.6978606021123e-16
use of color,1.6978606021123e-16
narcissus landmark of,1.6978606021123e-16
story has never,1.6978606021123e-16
oeil,1.6978606021123e-16
the audience the,1.6978606021123e-16
simmons deliver superb,1.6978606021123e-16
simmons deliver,1.6978606021123e-16
thames trompe oeil,1.6978606021123e-16
thames trompe,1.6978606021123e-16
thames,1.6978606021123e-16
the struggle between,1.6978606021123e-16
movie features stunning,1.6978606021123e-16
mind,1.6978606021123e-16
on thames trompe,1.6978606021123e-16
struggle between,1.6978606021123e-16
the film production,1.6978606021123e-16
mind the film,1.6978606021123e-16
spirit and the,1.6978606021123e-16
memorable ending that,1.6978606021123e-16
mind the,1.6978606021123e-16
never completely,1.6978606021123e-16
struggle between the,1.6978606021123e-16
simmons,1.6978606021123e-16
never completely grabbed,1.6978606021123e-16
never,1.6978606021123e-16
memorable ending,1.6978606021123e-16
spirit and,1.6978606021123e-16
the spirit and,1.6978606021123e-16
should,1.691355389077387e-16
too many,1.687018580387445e-16
are overwhelmingly positive,1.687018580387445e-16
overwhelmingly positive praising,1.687018580387445e-16
stories and,1.687018580387445e-16
while others find,1.6696713456276768e-16
storytelling and,1.6696713456276768e-16
one of the,1.6696713456276768e-16
through the,1.6664187391102203e-16
of euthanasia in,1.6653345369377348e-16
mature,1.6653345369377348e-16
euthanasia in,1.6653345369377348e-16
for its,1.6653345369377348e-16
elements,1.6588293239028218e-16
british,1.6566609195578508e-16
inconsistent,1.6479873021779667e-16
cinematography is,1.6479873021779667e-16
the cinematography is,1.6479873021779667e-16
soul,1.6458188978329957e-16
into,1.6393136847980827e-16
fight,1.6371452804531117e-16
zipper is disappointing,1.6111244283134596e-16
muddled,1.6111244283134596e-16
for peace and,1.6089560239684886e-16
to history and,1.6089560239684886e-16
for peace,1.6089560239684886e-16
contributions to history,1.6089560239684886e-16
to history,1.6089560239684886e-16
history and,1.6089560239684886e-16
biography,1.6089560239684886e-16
passion,1.6089560239684886e-16
peace and,1.6089560239684886e-16
peace,1.6089560239684886e-16
best,1.6002824065886045e-16
but,1.5959455978986625e-16
up,1.5937771935536915e-16
the movie has,1.5916087892087205e-16
movie has,1.5916087892087205e-16
film ability to,1.5878140816050212e-16
film ability,1.5878140816050212e-16
the film ability,1.5878140816050212e-16
its use,1.5829351718288365e-16
its use of,1.5829351718288365e-16
dangers,1.57968256531138e-16
the dangers,1.57968256531138e-16
dangers of,1.57968256531138e-16
the dangers of,1.57968256531138e-16
contributions,1.5785983631388945e-16
but most agree,1.5780562620526517e-16
but most,1.5780562620526517e-16
of the original,1.5677563414140394e-16
mixed bag,1.5612511283791264e-16
bag,1.5612511283791264e-16
the war,1.5569143196891844e-16
of the best,1.5547459153442134e-16
the best,1.5547459153442134e-16
in the 2008,1.5482407023093003e-16
2008,1.5482407023093003e-16
party,1.5482407023093003e-16
politics of the,1.5482407023093003e-16
the 2008,1.5482407023093003e-16
see for those,1.5482407023093003e-16
those,1.5439038936193583e-16
mention that,1.5428196914468728e-16
mention that the,1.5428196914468728e-16
and unbridled,1.5352302762394743e-16
british reserve,1.5352302762394743e-16
and unbridled emotion,1.5352302762394743e-16
powell and emeric,1.5352302762394743e-16
powell and,1.5352302762394743e-16
british reserve and,1.5352302762394743e-16
black narcissus 1947,1.5352302762394743e-16
pressburger,1.5352302762394743e-16
dangers of ambition,1.5352302762394743e-16
powell,1.5352302762394743e-16
directed by michael,1.5352302762394743e-16
by michael powell,1.5352302762394743e-16
reserve,1.5352302762394743e-16
reserve and,1.5352302762394743e-16
reserve and unbridled,1.5352302762394743e-16
emeric,1.5352302762394743e-16
emeric pressburger,1.5352302762394743e-16
emotion,1.5352302762394743e-16
color,1.5352302762394743e-16
train,1.5352302762394743e-16
ambition,1.5352302762394743e-16
and emeric,1.5352302762394743e-16
1947,1.5352302762394743e-16
and emeric pressburger,1.5352302762394743e-16
landmark,1.5352302762394743e-16
unbridled,1.5352302762394743e-16
unbridled emotion,1.5352302762394743e-16
michael powell and,1.5352302762394743e-16
of ambition british,1.5352302762394743e-16
tribute to zinn,1.5352302762394743e-16
michael powell,1.5352302762394743e-16
of ambition,1.5352302762394743e-16
ambition british reserve,1.5352302762394743e-16
narcissus 1947,1.5352302762394743e-16
ambition british,1.5352302762394743e-16
his influence,1.5308934675495323e-16
his influence on,1.5308934675495323e-16
typical,1.5287250632045613e-16
legacy,1.5243882545146192e-16
praising its,1.5222198501696482e-16
gore,1.5178830414797062e-16
at the,1.5135462327897642e-16
others find it,1.4986384529180885e-16
are,1.491862189340054e-16
must see,1.491862189340054e-16
low budget,1.491862189340054e-16
complex and,1.491862189340054e-16
wood,1.487525380650112e-16
flaws the movie,1.487525380650112e-16
the film allure,1.487525380650112e-16
evan,1.487525380650112e-16
evan rachel,1.487525380650112e-16
painful,1.487525380650112e-16
rachel,1.487525380650112e-16
rachel wood,1.487525380650112e-16
evan rachel wood,1.487525380650112e-16
film allure,1.487525380650112e-16
of euthanasia,1.48318857196017e-16
storylines,1.48318857196017e-16
dormant beauty,1.48318857196017e-16
ethical,1.48318857196017e-16
classic,1.48318857196017e-16
dormant,1.48318857196017e-16
underdeveloped storylines,1.48318857196017e-16
euthanasia,1.48318857196017e-16
spike,1.478851763270228e-16
spike lee,1.478851763270228e-16
some reviewers appreciate,1.4783096621839853e-16
the documentary,1.474514954580286e-16
message,1.465841337200402e-16
that it is,1.459336124165489e-16
1978,1.457167719820518e-16
the 1978,1.457167719820518e-16
camp,1.457167719820518e-16
film patrick evil,1.457167719820518e-16
style and tone,1.457167719820518e-16
based,1.452830911130576e-16
overwhelmingly positive,1.446325698095663e-16
low,1.442755454222986e-16
reviews about,1.43982048506075e-16
reviews about the,1.43982048506075e-16
and tone are,1.43982048506075e-16
tone are,1.43982048506075e-16
and reviews,1.43982048506075e-16
and reviews about,1.43982048506075e-16
film patrick,1.4373810301726575e-16
interviews,1.4333152720258369e-16
portrayal of zinn,1.4333152720258369e-16
of zinn life,1.4333152720258369e-16
of zinn,1.4333152720258369e-16
appreciated for its,1.4314179182239872e-16
appreciated for,1.4314179182239872e-16
is appreciated for,1.4314179182239872e-16
are well,1.4311468676808659e-16
with some reviewers,1.4224732503009818e-16
well,1.4224732503009818e-16
memorable,1.4224732503009818e-16
it disappointing,1.4137996329210978e-16
it lacks,1.4116312285761268e-16
but it lacks,1.4116312285761268e-16
willing,1.4094628242311558e-16
dependency and abuse,1.4094628242311558e-16
willing to,1.4094628242311558e-16
and melodramatic,1.4094628242311558e-16
abuse,1.4094628242311558e-16
and abuse,1.4094628242311558e-16
dependency and,1.4094628242311558e-16
also mention,1.4051260155412137e-16
the movie features,1.4007892068512717e-16
movie features,1.4007892068512717e-16
most,1.3964523981613297e-16
propaganda,1.3964523981613297e-16
human behavior,1.3953681959888442e-16
dependency,1.3953681959888442e-16
misogyny,1.3921155894713877e-16
hollywood,1.3877787807814457e-16
as powerful,1.3877787807814457e-16
its engaging,1.3791051634015616e-16
kopple,1.3791051634015616e-16
for its engaging,1.3791051634015616e-16
of subtlety,1.375039405254741e-16
lack of subtlety,1.375039405254741e-16
standout,1.3747683547116196e-16
that is,1.3704315460216776e-16
the film patrick,1.3704315460216776e-16
original film style,1.3704315460216776e-16
original film,1.3704315460216776e-16
worth appreciating for,1.3704315460216776e-16
of camp absurdity,1.3704315460216776e-16
of camp,1.3704315460216776e-16
the movie pacing,1.3704315460216776e-16
movie pacing and,1.3704315460216776e-16
while it has,1.3704315460216776e-16
movie is unique,1.3704315460216776e-16
it has its,1.3704315460216776e-16
standout and it,1.3704315460216776e-16
standout and,1.3704315460216776e-16
the 1978 australian,1.3704315460216776e-16
fans of the,1.3704315460216776e-16
by richard,1.3704315460216776e-16
has its,1.3704315460216776e-16
movie pacing,1.3704315460216776e-16
the original film,1.3704315460216776e-16
worth appreciating,1.3704315460216776e-16
often jumps into,1.3704315460216776e-16
unique storytelling and,1.3704315460216776e-16
on the 1978,1.3704315460216776e-16
horror movie that,1.3704315460216776e-16
of the genre,1.3704315460216776e-16
film style and,1.3704315460216776e-16
often jumps,1.3704315460216776e-16
storytelling and atmosphere,1.3704315460216776e-16
horror movie,1.3704315460216776e-16
richard,1.3704315460216776e-16
are inconsistent,1.3704315460216776e-16
pino donaggio is,1.3704315460216776e-16
some reviewers,1.3530843112619095e-16
based on,1.3506448563738171e-16
and angels is,1.3444106938820255e-16
nasty and,1.3444106938820255e-16
cast including,1.3444106938820255e-16
violence and gore,1.3444106938820255e-16
angels is,1.3444106938820255e-16
and gore,1.3444106938820255e-16
also praised,1.3422422895370545e-16
are also praised,1.3422422895370545e-16
funny,1.3400738851920835e-16
about the movie,1.3400738851920835e-16
inconsistent and,1.3357370765021415e-16
story has,1.3357370765021415e-16
the story has,1.3357370765021415e-16
original with,1.3297739645534712e-16
is documentary,1.3270634591222574e-16
character study,1.3270634591222574e-16
study,1.3270634591222574e-16
the original with,1.3183898417423734e-16
and gothic,1.3183898417423734e-16
top score by,1.3183898417423734e-16
is remake,1.3183898417423734e-16
is remake of,1.3183898417423734e-16
horror classic,1.3183898417423734e-16
his,1.3183898417423734e-16
faithful adaptation of,1.3183898417423734e-16
faithful adaptation,1.3183898417423734e-16
flaws the,1.3097162243624894e-16
atwater life and,1.3032110113275763e-16
well crafted,1.3032110113275763e-16
of lee atwater,1.3032110113275763e-16
republican,1.3032110113275763e-16
portrayal of atwater,1.3032110113275763e-16
crafted and,1.3032110113275763e-16
crafted,1.3032110113275763e-16
of lee,1.3032110113275763e-16
atwater life,1.3032110113275763e-16
well crafted and,1.3032110113275763e-16
miniver is,1.2967057982926633e-16
mrs miniver is,1.2967057982926633e-16
flaws,1.2923689896027213e-16
atmosphere,1.2923689896027213e-16
powerful and thought,1.2854572007531262e-16
is highly,1.2836953722228372e-16
making,1.2836953722228372e-16
performances the film,1.2793585635328952e-16
has some,1.2793585635328952e-16
performances the,1.2793585635328952e-16
filmmaking,1.2663481374630692e-16
of an,1.2663481374630692e-16
character,1.2663481374630692e-16
of allen,1.2576745200831851e-16
complex,1.2576745200831851e-16
sabrina,1.2533377113932431e-16
has,1.249000902703301e-16
about the documentary,1.249000902703301e-16
contributions to,1.249000902703301e-16
evil awakens is,1.244664094013359e-16
awakens is,1.244664094013359e-16
and enjoyable watch,1.244664094013359e-16
enjoyable watch,1.244664094013359e-16
woman,1.233822072288504e-16
the life of,1.231653667943533e-16
